name	abbreviation	MW (in polymer)	mol/mol protein	g/mol protein	g/g protein
L-alanine	Ala	71.0637	0.059009009009	4.19339851351287	0.0370871143008205
L-arginine	Arg	156.1727	0.0198198198198	3.09531477477168	0.0273754789770289
L-asparagine	Asn	114.0887	0.0936936936937	10.6893917117124	0.0945387591808964
L-aspartate	Asp	115.0737	0.0247747747748	2.8509250000029	0.0252140551386805
L-cysteine	Cys	103.1297	0.00630630630631	0.650367477477858	0.00575195820216757
L-glutamate	Glu	128.1157	0.0198198198198	2.53923009008755	0.0224573734844652
L-glutamine	Gln	129.1007	0.0184684684685	2.38429220721128	0.0210870770642125
L-glycine	Gly	57.0367	0.0617117117117	3.51983238738672	0.0311299833893883
L-histidine	His	137.1257	0.0261261261261	3.58256333332975	0.0316847863147222
L-isoleucine	Ile	113.1447	0.1	11.31447	0.100067055585347
L-leucine	Leu	113.1447	0.129279279279	14.6272652702387	0.129365968256453
L-lysine	Lys	128.1547	0.0328828828829	4.21409599099318	0.0372701662360414
L-methionine	Met	131.1837	0.0495495495495	6.50009324323674	0.0574879063606966
L-phenylalanine	Phe	147.1617	0.0666666666667	9.81078000000491	0.0867681709877796
L-proline	Pro	97.1017	0.0387387387387	3.76159738738363	0.0332681932828505
L-serine	Ser	87.0627	0.063963963964	5.56887540540854	0.0492520608336837
L-threonine	Thr	101.1039	0.0536036036036	5.41953337837801	0.047931255093769
L-tryptophan	Trp	186.2137	0.0175675675676	3.2713217567628	0.0289321140160819
L-tyrosine	Tyr	163.1757	0.0527027027027	8.59980040540496	0.0760580659271313
L-valine	Val	99.1457	0.0653153153153	6.47573265765614	0.057272457287838