rxnID	mets2change	newMets
r_0004	"s_0063[c];s_1399[c];s_0709[m];s_0710[m]"	"(S)-lactate [mitochondrial intermembrane space];pyruvate [mitochondrial intermembrane space];ferricytochrome c [mitochondrial intermembrane space];ferrocytochrome c [mitochondrial intermembrane space]"
r_0226	s_0794[c]	H+ [mitochondrial intermembrane space]
r_0331	"s_1537[m];s_1535[m]"	"ubiquinone-6 [mitochondrial membrane];ubiquinol-6 [mitochondrial membrane]"
r_0438	"s_0710[m];s_0709[m];s_0794[c]"	"ferrocytochrome c [mitochondrial intermembrane space];ferricytochrome c [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space]"
r_0439	"s_0709[m];s_1535[m];s_0710[m];s_0794[c];s_1537[m];s_3931[c]"	"ferricytochrome c [mitochondrial intermembrane space];ubiquinol-6 [mitochondrial membrane];ferrocytochrome c [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space];ubiquinone-6 [mitochondrial membrane];superoxide [mitochondrial intermembrane space]"
r_0551	"s_1617[m];s_1621[m]"	"TRX3 [mitochondrion];TRX3 disulphide [mitochondrion]"
r_0770	"s_1537[m];s_1535[m]"	"ubiquinone-6 [mitochondrial membrane];ubiquinol-6 [mitochondrial membrane]"
r_0773	"s_1537[m];s_1535[m]"	"ubiquinone-6 [mitochondrial membrane];ubiquinol-6 [mitochondrial membrane]"
r_1110	"s_0394[c];s_0434[c]"	"ADP [mitochondrial intermembrane space];ATP [mitochondrial intermembrane space]"
r_1021	"s_1537[m];s_1535[m]"	"ubiquinone-6 [mitochondrial membrane];ubiquinol-6 [mitochondrial membrane]"
r_1039	"s_1617[m];s_1621[m]"	"TRX3 [mitochondrion];TRX3 disulphide [mitochondrion]"
r_1130	"s_0539[c];s_0794[c]"	"CTP [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space]"
r_1131	"s_0539[c];s_0794[c]"	"CTP [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space]"
r_1137	"s_0025[c];s_0794[c]"	"(R)-lactate [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space]"
r_1138	"s_0025[c];s_1399[c]"	"(R)-lactate [mitochondrial intermembrane space];pyruvate [mitochondrial intermembrane space]"
r_1151	"s_0689[c];s_0690[m]"	"FAD [cytoplasm];FAD [mitochondrion]"
r_1175	"s_0785[c];s_0794[c];s_0739[c]"	"GTP [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space];GDP [mitochondrial intermembrane space]"
r_1275	"s_0794[c];s_0785[c]"	"H+ [mitochondrial intermembrane space];UTP [mitochondrial intermembrane space]"
r_1276	"s_0794[c];s_0785[c]"	"H+ [mitochondrial intermembrane space];UTP [mitochondrial intermembrane space]"
r_2034	"s_1399[c];s_0734[c]"	"pyruvate [mitochondrial intermembrane space];H+ [mitochondrial intermembrane space]"