rxnID	rxnName	oldComp	newComp
r_0616	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0617	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0618	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0619	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0620	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0621	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0622	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0623	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0624	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0625	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0626	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0627	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0628	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0629	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0630	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0631	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0632	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0633	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0634	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0635	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0636	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0637	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0638	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0639	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0640	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0641	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0642	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0643	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0644	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_0645	IPS phospholipase C	mitochondrion	mitochondrial outer membrane
r_3304	DAG lipase (1-16:0, 2-18:1), mitochondrion	mitochondrion	mitochondrial membrane
r_3305	DAG lipase (1-16:1, 2-18:1), mitochondrion	mitochondrion	mitochondrial membrane
r_3306	DAG lipase (1-18:0, 2-18:1), mitochondrion	mitochondrion	mitochondrial membrane
r_3307	DAG lipase (1-18:1, 2-18:1), mitochondrion	mitochondrion	mitochondrial membrane